split,file,issue
train,blank_train_000.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_000_flip.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_001.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_001_flip.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_002.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_002_flip.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_003.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_003_flip.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_004.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_004_flip.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_005.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_005_flip.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_006.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_006_flip.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_007.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_007_flip.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_008.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_008_flip.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_009.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_009_flip.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_010.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_010_flip.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_011.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_011_flip.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_012.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_012_flip.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_013.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_013_flip.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_014.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_014_flip.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_015.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_015_flip.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_016.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_016_flip.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_017.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_017_flip.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_018.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_018_flip.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_019.jpg,EMPTY_LABEL_BACKGROUND
train,blank_train_019_flip.jpg,EMPTY_LABEL_BACKGROUND
train,frame_train_012.jpg,EMPTY_LABEL_BACKGROUND
train,frame_train_012_flip.jpg,EMPTY_LABEL_BACKGROUND
train,frame_train_015.jpg,EMPTY_LABEL_BACKGROUND
train,frame_train_015_flip.jpg,EMPTY_LABEL_BACKGROUND
train,frame_train_020.jpg,EMPTY_LABEL_BACKGROUND
train,frame_train_020_flip.jpg,EMPTY_LABEL_BACKGROUND
train,frame_train_022.jpg,EMPTY_LABEL_BACKGROUND
train,frame_train_022_flip.jpg,EMPTY_LABEL_BACKGROUND
val,blank_val_000.jpg,EMPTY_LABEL_BACKGROUND
val,blank_val_001.jpg,EMPTY_LABEL_BACKGROUND
val,blank_val_002.jpg,EMPTY_LABEL_BACKGROUND
val,blank_val_003.jpg,EMPTY_LABEL_BACKGROUND
val,blank_val_004.jpg,EMPTY_LABEL_BACKGROUND
val,blank_val_005.jpg,EMPTY_LABEL_BACKGROUND
val,blank_val_006.jpg,EMPTY_LABEL_BACKGROUND
val,blank_val_007.jpg,EMPTY_LABEL_BACKGROUND
val,blank_val_008.jpg,EMPTY_LABEL_BACKGROUND
val,blank_val_009.jpg,EMPTY_LABEL_BACKGROUND
val,frame_val_007.jpg,EMPTY_LABEL_BACKGROUND
test,blank_test_000.jpg,EMPTY_LABEL_BACKGROUND
test,blank_test_001.jpg,EMPTY_LABEL_BACKGROUND
test,blank_test_002.jpg,EMPTY_LABEL_BACKGROUND
test,blank_test_003.jpg,EMPTY_LABEL_BACKGROUND
test,blank_test_004.jpg,EMPTY_LABEL_BACKGROUND
test,blank_test_005.jpg,EMPTY_LABEL_BACKGROUND
test,blank_test_006.jpg,EMPTY_LABEL_BACKGROUND
test,blank_test_007.jpg,EMPTY_LABEL_BACKGROUND
test,blank_test_008.jpg,EMPTY_LABEL_BACKGROUND
test,blank_test_009.jpg,EMPTY_LABEL_BACKGROUND
